show_id,category,win,year
1,Outstanding Documentary or Nonfiction Series,True,2017
1,Outstanding Cinematography for a Nonfiction Program,True,2017
1,Outstanding Sound Mixing for a Nonfiction Program (Single or Multi-Camera),False,2017
1,Outstanding Sound Editing for a Nonfiction Program (Single or Multi-Camera),False,2017
1,Outstanding Directing for a Nonfiction Program,False,2017
1,Outstanding Picture Editing for a Nonfiction Program,False,2017
1,Outstanding Music Composition for a Series (Original Dramatic Score),False,2017
2,OUTSTANDING INDIVIDUAL ACHIEVEMENT IN DIRECTING IN A DRAMA series,True,1993
2,OUTSTANDING individual achievement in WRITING IN A DRAMA SERIES,True,1993
2,Outstanding Guest Actress In A Drama Series,False,1993
2,OUTSTANDING INDIVIDUAL ACHIEVEMENT IN GRAPHIC DESIGN AND title sequences,False,1993
2,Outstanding Guest Actor In A Drama Series,False,1994
2,OUTSTANDING CASTING FOR A SERIES,False,1996
2,OUTSTANDING LEAD ACTOR FOR A DRAMA SERIES,False,1996
2,OUTSTANDING GUEST ACTRESS FOR A DRAMA SERIES,False,1996
2,OUTSTANDING CASTING FOR A SERIES,False,1997
2,Outstanding Guest Actress In A Drama Series,False,1997
2,Outstanding Lead Actor In A Drama Series,True,1998
2,OUTSTANDING CASTING FOR A SERIES,True,1998
2,Outstanding Writing for a Drama Series,False,1998
2,Outstanding Guest Actor In A Drama Series,False,1998
2,Outstanding Guest Actress In A Drama Series,False,1998
3,Outstanding Lead Actor In A Comedy Series,False,1993
3,OUTSTANDING individual achievement in WRITING IN A COMEDY SERIES,False,1993
3,Outstanding Supporting Actor In A Comedy Series,False,1993
3,Outstanding Comedy Series,False,1993
3,Outstanding Guest Actor In A Comedy Series,False,1993
3,Outstanding Guest Actress In A Comedy Series,False,1993
3,OUTSTANDING individual achievement in WRITING IN A COMEDY SERIES,False,1994
3,OUTSTANDING INDIVIDUAL ACHIEVEMENT IN DIRECTING IN A comedy series,False,1994
3,Outstanding Comedy Series,False,1994
3,Outstanding Supporting Actor In A Comedy Series,False,1994
3,Outstanding Lead Actor In A Comedy Series,False,1995
3,Outstanding Comedy Series,False,1995
3,Outstanding Supporting Actor In A Comedy Series,False,1995
3,OUTSTANDING INDIVIDUAL ACHIEVEMENT IN DIRECTING IN A comedy series,False,1995
3,OUTSTANDING individual achievement in WRITING IN A COMEDY SERIES,False,1995
3,OUTSTANDING SUPPORTING ACTOR FOR A COMEDY SERIES,True,1996
3,Outstanding Supporting Actress In A Comedy Series,False,1996
3,OUTSTANDING GUEST ACTOR for A COMEDY SERIES,False,1996
3,OUTSTANDING LEAD ACTOR FOR A COMEDY SERIES,False,1996
3,OUTSTANDING GUEST ACTRESS FOR A COMEDY SERIES,False,1996
3,Outstanding Comedy Series,False,1996
3,Outstanding Directing For A Comedy Series,False,1996
